LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-08-06 12:05:48,1900-01-00 00:00:00,,84:EA:97:63:CC:A2,-18, ,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:09,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-10, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:09,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-10, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:09,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-8,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:09,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-16,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:09,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-20,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:09,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-10, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:09,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-10,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:10,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-10,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:10,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-20,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:13,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-10,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:17,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-30,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:17,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-28,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:17,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-30,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:17,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-30,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:17,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-30,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:17,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-30,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:20,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-14, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:21,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-24,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:25,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-28, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:31,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-18,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:31,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-20,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:39,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-18, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:39,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-20,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:39,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-40,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-34,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:43,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-34,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:44,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-24,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:44,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-34,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:44,1900-01-00 00:00:00,,B8:B2:F8:6E:77:1A,-36,,0.000000,0.000000,0.000,0.000,Client
2020-08-06 12:06:46,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-22, OPN,0.000000,0.000000,0.000,0.000,AP
2020-08-06 12:06:49,1900-01-00 00:00:00,udirc-WiFi-63CCA2,84:EA:97:63:CC:A2,-14, OPN,0.000000,0.000000,0.000,0.000,AP
